,,Dev Info,,,,,Other DevInfo sources,,,,G-Econ,,,DHS (Equity),,,MICS (Equity),,,National Statistics Institute,,,,SEDAC / CIESIN,,,,OECD,,,,OPHI,,,,HarvestChoice,,,,NBER,,,,DHS (Open Aid Partnership),,,,DHS,,,
Malawi,461,English,Maseda_2012_en.csv,http://www.devinfo.org/maseda/libraries/aspx/Home.aspx,http://www.devinfo.org/maseda/stock/data/CSV_DataFiles/Maseda_2012_en.zip,http://www.devinfo.org/articles/news,,,,,,,,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,Equity (DHS and MICS) for Gapminder.xlsx,https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,"MWI_sae_csv.csv
MalawiCaseStudy.csv
imr_highres.csv
hunger_data.csv","http://sedac.ciesin.columbia.edu/data/set/povmap-small-area-estimates-poverty-inequality/data-download

http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates/data-download
 http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/data-download","n/a

http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/imr_tabular.zip
http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/hunger_tabular.zip",https://www.facebook.com/socioeconomicdataandappsctr,,,,,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,"TPOV_PT125.csv
TPOV_PT200.csv","http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-125day-percent-2005
http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-200day-percent-2005","http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT125_2.zip
http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT200_2.zip",https://www.facebook.com/harvestchoice,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,"Socioeconomic Data for Mapping_Malawi AMP_Final.xlsx
MalawiPopADM1.xlsx","https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing","https://doc-08-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/2c52ttu4p1clchpirurfjtobdlr8r8u4/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbZ2pST0ZFYXFpYnM?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://doc-0c-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/e51vjc6cfv7vc9og49qudkkcp91nfn0h/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbMmdjbzNZT245T1k?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Malaysia,378,no DevInfo,,,,,,,,,Malaysia_Calc_Qa_061005.xls,http://gecon.yale.edu/malaysia,http://gecon.yale.edu/sites/default/files/Malaysia_Calc_Qa_061005.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,MalaysiaPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-04-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/f1adfj2edrfsvueabn4bs05s33faiiev/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbMXFrZnZ0a3VrckU?h=07874974558453865051&e=download, ",,,,,
Maldives,167,English,MaldivInfo_2012_en.csv,http://www.devinfo.org/maldivinfo/libraries/aspx/Home.aspx,http://www.devinfo.org/maldivinfo/stock/data/CSV_DataFiles/MaldivInfo_2012_en.zip,http://www.devinfo.org/articles/news,,,,,,,,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MaldivesPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-08-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/n3hgmshkr1grpus3qb7fir23uk6fcv4h/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9Mbbk9wR2oySnAxZVk?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Mali,455,French,Malikunnafoni_2012_fr.csv,http://devinfo.org/malikunnafoni/libraries/aspx/Home.aspx,http://devinfo.org/malikunnafoni/stock/data/CSV_DataFiles/Malikunnafoni_2012_fr.zip,http://www.devinfo.org/articles/news,,,,,Mali_Calc_MM_021505.XLS,http://gecon.yale.edu/mali,http://gecon.yale.edu/sites/default/files/Mali_Calc_MM_021505.XLS,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,,,,"imr_highres.csv
hunger_data.csv","http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates/data-download
http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/data-download","http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/imr_tabular.zip
http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/hunger_tabular.zip",https://www.facebook.com/socioeconomicdataandappsctr,,,,,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,"TPOV_PT125.csv
TPOV_PT200.csv","http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-125day-percent-2005
http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-200day-percent-2005","http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT125_2.zip
http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT200_2.zip",https://www.facebook.com/harvestchoice,,,,,MaliPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-04-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/kik4h7ji5g1dtson41fhjs4uhbcrjh67/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbLUhfdzBqYkVoTGs?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Malta,110,no DevInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,134,no DevInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,303,French,MauritInfo_2011_en.csv,http://www.devinfo.org/mauritinfo/libraries/aspx/Home.aspx,http://www.devinfo.org/mauritinfo/stock/data/CSV_DataFiles/MauritInfo_2011_fr.zip,http://www.devinfo.org/articles/news,,,,,Mauritania_Calc_MM_052505.xls,http://gecon.yale.edu/mauritania,http://gecon.yale.edu/sites/default/files/Mauritania_Calc_MM_052505.xls,,,,Equity (DHS and MICS) for Gapminder.xlsx,https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,hunger_data.csv, http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/data-download,http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/hunger_tabular.zip,https://www.facebook.com/socioeconomicdataandappsctr,,,,,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,"TPOV_PT125.csv
TPOV_PT200.csv","http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-125day-percent-2005
http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-200day-percent-2005","http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT125_2.zip
http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT200_2.zip",https://www.facebook.com/harvestchoice,,,,,MauritaniaPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-10-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/9m66ops6ntjmr461jsu3o68mclair4nq/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbVFlncmRlYnAtNEE?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Mauritius,168,no DevInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MauritiusPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-0c-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/bihg7v967vfsqa0q0pa805dd9linbkbu/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbcUpSYWJybXZUSUU?h=07874974558453865051&e=download, ",,,,,
Mexico,457,no DevInfo,,,,,,,,,Mexico_Calc_Qa_041205.xls,http://gecon.yale.edu/mexico,http://gecon.yale.edu/sites/default/files/Mexico_Calc_Qa_041205.xls,,,,,,,,,,,"MexicoCaseStudy.csv
imr_highres.csv
mextime.csv","http://sedac.ciesin.columbia.edu/data/set/povmap-small-area-estimates-poverty-inequality/data-downloadhttp://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates/data-download
http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates/data-download
ftp://ftp.ciesin.columbia.edu/pub/data/Mexico/urb.time.mex/","n/a
http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/imr_tabular.zip
ftp://ftp.ciesin.columbia.edu/pub/data/Mexico/urb.time.mex/urtimemx.zip",https://www.facebook.com/socioeconomicdataandappsctr,OECD metropolitan areas.xls,http://stats.oecd.org/#,http://stats.oecd.org/FileView2.aspx?IDFile=00fa8a34-d432-4aff-aad4-b0924ff0c89e,http://www.oecd.org/std/theoecdstatisticsnewsletter-allissues.htm,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,MexicoPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-08-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/8al2nkvv9ugssbmetc9pp22cr3r11ghf/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbWkdJbzVxYUc4M1E?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
"Micronesia, Fed. Sts.",157,no DevInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,286,no DevInfo,,,,,,,,,,,,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,http://www.statistica.md/index.php?l=en,,,,,,,,,,,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,MoldovaPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-00-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/4ebfk1iql59fr92s3afkcm33gnip63eo/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbNDZoQkUzUFJ3M2s?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Mongolia,257,no DevInfo,,,,,,,,,Mongolia_Calc_Qa_061705.xls,http://gecon.yale.edu/mongolia,http://gecon.yale.edu/sites/default/files/Mongolia_Calc_Qa_061705.xls,,,,Equity (DHS and MICS) for Gapminder.xlsx,https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,imr_highres.csv,http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates/data-download,http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/imr_tabular.zip,https://www.facebook.com/socioeconomicdataandappsctr,,,,,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,MongoliaPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-0o-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/dpirt53a4l8290r2i4pb4h8tafmkdpvl/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbcHZxZ0tkclV3dlk?h=07874974558453865051&e=download, ",,,,,
Montenegro,161,no DevInfo,,,,,,,,,,,,,,,Equity (DHS and MICS) for Gapminder.xlsx,https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,,,,,,,,,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,,,,,,,,,MontenegroPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-14-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/8f3h4otaf38n2qdgrdkql9j2qohple7v/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbN1pnZWxheGdvODA?h=07874974558453865051&e=download, ",,,,,
Morocco,449,?,,,,,,,,,Morocco_Calc_output_file_2002.xls,http://gecon.yale.edu/morocco,http://gecon.yale.edu/sites/default/files/Morocco_Calc_output_file_2002.xls,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,,,,MAR_sae_csv.csv,http://sedac.ciesin.columbia.edu/data/set/povmap-small-area-estimates-poverty-inequality/data-download,n/a,https://www.facebook.com/socioeconomicdataandappsctr,,,,,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,"Morocco-READY (ATTN-Steve).xls
MoroccoPopADM1.xlsx","https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing","https://doc-04-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/9cqe691i6hmk9b5co5eao5517ff92p4q/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbUmttbkV1NTloMDQ?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://doc-00-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/cbm8g4sgp1mg51arga1kh7658h5hd4h6/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbUE4wRHFOS3BlTlk?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Mozambique,486,Portuguese,ESDEM_2012_en.csv,http://devinfo.org/esdem/libraries/aspx/Home.aspx,http://devinfo.org/esdem/stock/data/CSV_DataFiles/ESDEM_2012_en.zip,http://www.devinfo.org/articles/news,,,,,Mozambique_Calc_MM_ 052505.xls,http://gecon.yale.edu/mozambique,http://gecon.yale.edu/sites/default/files/Mozambique_Calc_MM_%20052505.xls,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,Equity (DHS and MICS) for Gapminder.xlsx,https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,http://www.ine.gov.mz/,,,"MOZ_sae_csv.csv
imr_highres.csv
hunger_data.csv","http://sedac.ciesin.columbia.edu/data/set/povmap-small-area-estimates-poverty-inequality/data-download
http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates/data-download
http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/data-download","n/a
http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/imr_tabular.zip
http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/hunger_tabular.zip",https://www.facebook.com/socioeconomicdataandappsctr,,,,,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,"TPOV_PT125.csv
TPOV_PT200.csv","http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-125day-percent-2005
http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-200day-percent-2005","http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT125_2.zip
http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT200_2.zip",https://www.facebook.com/harvestchoice,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,"Mozambique.xls
MozambiquePopADM1.xlsx","https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing","https://doc-14-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/i07gm3e2hj0c9js71cjk5q5p5ejapnk2/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbNHMxRW40RjB5V1E?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://doc-0o-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/r8k0hrto2e47lmtqoqm4r8ta58i4n396/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbM2MwUDdmUkZUaUk?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Myanmar,520,broken link,,http://www.devinfo.org/myanmar/libraries/aspx/Home.aspx,,http://www.devinfo.org/articles/news,,,,,Myanmar_Calc_Qa_061005.xls,http://gecon.yale.edu/myanmar,http://gecon.yale.edu/sites/default/files/Myanmar_Calc_Qa_061005.xls,,,,,,,,,,,hunger_data.csv, http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/data-download,http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/hunger_tabular.zip,https://www.facebook.com/socioeconomicdataandappsctr,,,,,,,,,,,,,,,,,MyanmarPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-04-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/nv11p6m6oj0eo409tp2b30kp83t06geo/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9Mbb3BORWlLenp6XzA?h=07874974558453865051&e=download, ",,,,,
Namibia,238,English,NamInfo_2011_en.csv,http://www.devinfo.org/naminfo/libraries/aspx/Home.aspx,http://www.devinfo.org/naminfo/stock/data/CSV_DataFiles/NamInfo_2011_en.zip,http://www.devinfo.org/articles/news,,,,,Namibia_Calc_Xi_102710.xls,http://gecon.yale.edu/namibia,http://gecon.yale.edu/sites/default/files/Namibia_Calc_Xi_102710.xls,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,,,,hunger_data.csv, http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/data-download,http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/hunger_tabular.zip,https://www.facebook.com/socioeconomicdataandappsctr,,,,,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,"TPOV_PT125.csv
TPOV_PT200.csv","http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-125day-percent-2005
http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-200day-percent-2005","http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT125_2.zip
http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT200_2.zip",https://www.facebook.com/harvestchoice,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,"Namibia2006.csv
NamibiaPopADM1.xlsx","https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbMlJpUWdQUnVfWTA&usp=sharing
https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing","https://doc-04-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/eto9tbk503lbngi23daj5eh8bgrcefk7/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbbVF3QmFBb3F0eDQ?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbMlJpUWdQUnVfWTA&usp=sharing
https://doc-0k-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/ocjonsvfs93cqfcstbcrbpt76t5eeoco/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbNm5NOFVGVW1KS28?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
